[2026-02-15 02:43:21.681] [workload] [debug] callback,sys->id=3, tick=12502025, node->id=1282, node->name=COMP_NODE_FWD_b3_attention_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] issue,sys->id=3, tick=12502025, node->id=1283, node->name=COMP_NODE_FWD_b3_ffwd_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] callback,sys->id=1, tick=12502026, node->id=479, node->name=COMP_NODE_FWD_b3_ffwd_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] issue,sys->id=1, tick=12502026, node->id=480, node->name=COMP_NODE_FWD_b3_attention_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] callback,sys->id=3, tick=12502026, node->id=1283, node->name=COMP_NODE_FWD_b3_ffwd_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] issue,sys->id=3, tick=12502026, node->id=1284, node->name=COMP_NODE_FWD_b3_attention_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] callback,sys->id=1, tick=12502027, node->id=480, node->name=COMP_NODE_FWD_b3_attention_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] issue,sys->id=1, tick=12502027, node->id=481, node->name=COMP_NODE_FWD_b3_ffwd_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] callback,sys->id=3, tick=12502027, node->id=1284, node->name=COMP_NODE_FWD_b3_attention_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] issue,sys->id=3, tick=12502027, node->id=1285, node->name=COMP_NODE_FWD_b3_ffwd_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] callback,sys->id=1, tick=12502028, node->id=481, node->name=COMP_NODE_FWD_b3_ffwd_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] issue,sys->id=1, tick=12502028, node->id=482, node->name=COMP_NODE_FWD_b3_attention_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] callback,sys->id=3, tick=12502028, node->id=1285, node->name=COMP_NODE_FWD_b3_ffwd_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] issue,sys->id=3, tick=12502028, node->id=1286, node->name=COMP_NODE_FWD_b3_attention_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] callback,sys->id=1, tick=12502029, node->id=482, node->name=COMP_NODE_FWD_b3_attention_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] issue,sys->id=1, tick=12502029, node->id=483, node->name=COMP_NODE_FWD_b3_ffwd_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] callback,sys->id=3, tick=12502029, node->id=1286, node->name=COMP_NODE_FWD_b3_attention_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] issue,sys->id=3, tick=12502029, node->id=1287, node->name=COMP_NODE_FWD_b3_ffwd_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] callback,sys->id=1, tick=12502030, node->id=483, node->name=COMP_NODE_FWD_b3_ffwd_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] issue,sys->id=1, tick=12502030, node->id=484, node->name=COMP_NODE_FWD_b3_attention_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] callback,sys->id=3, tick=12502030, node->id=1287, node->name=COMP_NODE_FWD_b3_ffwd_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] issue,sys->id=3, tick=12502030, node->id=1288, node->name=COMP_NODE_FWD_b3_attention_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] callback,sys->id=1, tick=12502031, node->id=484, node->name=COMP_NODE_FWD_b3_attention_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] issue,sys->id=1, tick=12502031, node->id=485, node->name=COMP_NODE_FWD_b3_ffwd_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] callback,sys->id=3, tick=12502031, node->id=1288, node->name=COMP_NODE_FWD_b3_attention_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] issue,sys->id=3, tick=12502031, node->id=1289, node->name=COMP_NODE_FWD_b3_ffwd_compute, node->type=4
[2026-02-15 02:43:21.681] [workload] [debug] callback,sys->id=1, tick=12502032, node->id=485, node->name=COMP_NODE_FWD_b3_ffwd_compute, node->type=4
